# model	fn	r	valid	nonman	chi	genus	comp	v	e	f	warn	tol	runs	distinct	agree	secs	bin	nmvert	throat	wantcomp
boss_plate	48	def	VALID	0	2	0	1	2748	8238	5492	0	1e-6	3	1	yes	4	fd3dec78	0	-	1
boss_plate	64	def	VALID	0	2	0	1	4362	13080	8720	0	1e-6	3	1	yes	4	fd3dec78	0	-	1
boss_plate	def	0.2	VALID	0	2	0	1	352	1050	700	0	1e-6	3	1	yes	3	fd3dec78	0	-	1
boss_plate	def	0.3	VALID	0	2	0	1	352	1050	700	0	1e-6	3	1	yes	4	fd3dec78	0	-	1
boss_plate	def	0.5	VALID	0	2	0	1	352	1050	700	0	1e-6	3	1	yes	4	fd3dec78	0	-	1
boss_plate	def	0.8	VALID	0	2	0	1	352	1050	700	0	1e-6	3	1	yes	4	fd3dec78	0	-	1
boss_plate	def	0.9	VALID	0	2	0	1	352	1050	700	0	1e-6	3	1	yes	3	fd3dec78	0	-	1
boss_plate	def	1.0	VALID	0	2	0	1	352	1050	700	0	1e-6	3	1	yes	4	fd3dec78	0	-	1
boss_plate	def	1.5	VALID	0	2	0	1	352	1050	700	0	1e-6	3	1	yes	4	fd3dec78	0	-	1
boss_plate	def	2.0	VALID	0	2	0	1	474	1416	944	0	1e-6	3	1	yes	3	fd3dec78	0	-	1
two_bosses	def	def	VALID	0	2	0	1	945	2829	1886	1	1e-6	3	1	yes	4	fd3dec78	0	-	1
two_bosses	8	def	INVALID	6	5	n/a	1	518	1551	1038	1	1e-6	3	1	yes	4	fd3dec78	0	-	1
two_bosses	10	def	VALID	0	2	0	1	826	2472	1648	1	1e-6	3	1	yes	3	fd3dec78	0	-	1
two_bosses	12	def	VALID	0	2	0	1	806	2412	1608	1	1e-6	3	1	yes	4	fd3dec78	0	-	1
two_bosses	14	def	VALID	0	2	0	1	1333	3993	2662	1	1e-6	3	1	yes	4	fd3dec78	0	-	1
two_bosses	16	def	VALID	0	2	0	1	1022	3060	2040	1	1e-6	3	1	yes	4	fd3dec78	0	-	1
two_bosses	19	def	VALID	0	2	0	1	1881	5637	3758	1	1e-6	3	1	yes	4	fd3dec78	0	-	1
two_bosses	24	def	VALID	0	2	0	1	1902	5700	3800	1	1e-6	3	1	yes	4	fd3dec78	0	-	1
two_bosses	26	def	VALID	0	2	0	1	2690	8064	5376	1	1e-6	3	1	yes	3	fd3dec78	0	-	1
two_bosses	32	def	VALID	0	2	0	1	2616	7842	5228	1	1e-6	3	1	yes	4	fd3dec78	0	-	1
two_bosses	48	def	VALID	0	2	0	1	4621	13857	9238	1	1e-6	3	1	yes	5	fd3dec78	0	-	1
two_bosses	64	def	VALID	0	2	0	1	6577	19725	13150	1	1e-6	3	1	yes	4	fd3dec78	0	-	1
