# model	fn	r	valid	nonman	chi	genus	comp	v	e	f	warn	tol	runs	distinct	agree	secs	bin	nmvert	throat	wantcomp
two_bosses	def	0.5	VALID	0	2	0	1	857	2565	1710	1	1e-6	3	1	yes	3	f6d06ecb	0	-	1
two_bosses	def	0.8	VALID	0	2	0	1	833	2493	1662	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
two_bosses	def	0.9	VALID	0	2	0	1	512	1530	1020	2	1e-6	3	1	yes	4	f6d06ecb	0	-	1
two_bosses	def	1.0	VALID	0	2	0	1	512	1530	1020	2	1e-6	3	1	yes	3	f6d06ecb	0	-	1
two_bosses	def	2.0	VALID	0	2	0	1	1004	3006	2004	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
pipe_into_face	def	def	VALID	0	2	0	1	272	810	540	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
pipe_into_face	8	def	VALID	0	2	0	1	275	819	546	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
pipe_into_face	10	def	VALID	0	2	0	1	538	1608	1072	1	1e-6	3	1	yes	3	f6d06ecb	0	-	1
pipe_into_face	12	def	VALID	0	2	0	1	404	1206	804	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
pipe_into_face	14	def	VALID	0	2	0	1	756	2262	1508	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
pipe_into_face	16	def	VALID	0	2	0	1	600	1794	1196	1	1e-6	3	1	yes	3	f6d06ecb	0	-	1
pipe_into_face	19	def	VALID	0	2	0	1	1117	3345	2230	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
pipe_into_face	24	def	VALID	0	2	0	1	896	2682	1788	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
pipe_into_face	26	def	VALID	0	2	0	1	1580	4734	3156	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
pipe_into_face	32	def	VALID	0	2	0	1	1256	3762	2508	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
pipe_into_face	48	def	VALID	0	2	0	1	2168	6498	4332	1	1e-6	3	1	yes	3	f6d06ecb	0	-	1
pipe_into_face	64	def	VALID	0	2	0	1	3337	10005	6670	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
pipe_into_face	def	0.2	VALID	0	2	0	1	272	810	540	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
pipe_into_face	def	0.3	VALID	0	2	0	1	272	810	540	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
pipe_into_face	def	0.5	VALID	0	2	0	1	272	810	540	1	1e-6	3	1	yes	3	f6d06ecb	0	-	1
pipe_into_face	def	0.8	VALID	0	2	0	1	272	810	540	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
pipe_into_face	def	0.9	VALID	0	2	0	1	272	810	540	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
pipe_into_face	def	1.0	VALID	0	2	0	1	272	810	540	1	1e-6	3	1	yes	3	f6d06ecb	0	-	1
pipe_into_face	def	1.5	VALID	0	2	0	1	272	810	540	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
pipe_into_face	def	2.0	VALID	0	2	0	1	368	1098	732	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
