# model	fn	r	valid	nonman	chi	genus	comp	v	e	f	warn	tol	runs	distinct	agree	secs	bin	nmvert	throat	wantcomp
boss_plate	16	def	VALID	0	2	0	1	712	2130	1420	0	1e-6	3	1	yes	3	cec740d3	0	-	1
boss_plate	19	def	VALID	0	2	0	1	1028	3078	2052	0	1e-6	3	1	yes	4	cec740d3	0	-	1
boss_plate	24	def	VALID	0	2	0	1	1432	4290	2860	0	1e-6	3	1	yes	4	cec740d3	0	-	1
boss_plate	26	def	VALID	0	2	0	1	1856	5562	3708	0	1e-6	3	1	yes	4	cec740d3	0	-	1
boss_plate	32	def	VALID	0	2	0	1	2408	7218	4812	0	1e-6	3	1	yes	5	cec740d3	0	-	1
boss_plate	48	def	VALID	0	2	0	1	5128	15378	10252	0	1e-6	3	1	yes	4	cec740d3	0	-	1
boss_plate	64	def	VALID	0	2	0	1	8872	26610	17740	0	1e-6	3	1	yes	5	cec740d3	0	-	1
boss_plate	def	0.2	VALID	0	2	0	1	1832	5490	3660	0	1e-6	3	1	yes	4	cec740d3	0	-	1
boss_plate	def	0.3	VALID	0	2	0	1	1256	3762	2508	0	1e-6	3	1	yes	4	cec740d3	0	-	1
boss_plate	def	0.5	VALID	0	2	0	1	740	2214	1476	0	1e-6	3	1	yes	4	cec740d3	0	-	1
boss_plate	def	0.8	VALID	0	2	0	1	560	1674	1116	0	1e-6	3	1	yes	4	cec740d3	0	-	1
boss_plate	def	0.9	VALID	0	2	0	1	536	1602	1068	0	1e-6	3	1	yes	3	cec740d3	0	-	1
boss_plate	def	1.0	VALID	0	2	0	1	488	1458	972	0	1e-6	3	1	yes	4	cec740d3	0	-	1
boss_plate	def	1.5	VALID	0	2	0	1	404	1206	804	0	1e-6	3	1	yes	4	cec740d3	0	-	1
boss_plate	def	2.0	VALID	0	2	0	1	356	1062	708	0	1e-6	3	1	yes	4	cec740d3	0	-	1
two_bosses	def	def	VALID	0	2	0	1	662	1980	1320	0	1e-6	3	1	yes	4	cec740d3	0	-	1
two_bosses	8	def	VALID	0	2	0	1	670	2004	1336	0	1e-6	3	1	yes	4	cec740d3	0	-	1
two_bosses	10	def	VALID	0	2	0	1	738	2208	1472	0	1e-6	3	1	yes	4	cec740d3	0	-	1
two_bosses	12	def	VALID	0	2	0	1	790	2364	1576	0	1e-6	3	1	yes	4	cec740d3	0	-	1
two_bosses	14	def	VALID	0	2	0	1	1165	3489	2326	0	1e-6	3	1	yes	4	cec740d3	0	-	1
two_bosses	16	def	VALID	0	2	0	1	1206	3612	2408	0	1e-6	3	1	yes	4	cec740d3	0	-	1
two_bosses	19	def	VALID	0	2	0	1	1654	4956	3304	0	1e-6	3	1	yes	4	cec740d3	0	-	1
two_bosses	24	def	VALID	0	2	0	1	2254	6756	4504	0	1e-6	3	1	yes	4	cec740d3	0	-	1
two_bosses	26	def	VALID	0	2	0	1	2872	8610	5740	0	1e-6	3	1	yes	4	cec740d3	0	-	1
two_bosses	32	def	VALID	0	2	0	1	3638	10908	7272	0	1e-6	3	1	yes	4	cec740d3	0	-	1
two_bosses	48	def	VALID	0	2	0	1	7417	22245	14830	0	1e-6	3	1	yes	5	cec740d3	0	-	1
two_bosses	64	def	VALID	0	2	0	1	12541	37617	25078	0	1e-6	3	1	yes	5	cec740d3	0	-	1
two_bosses	def	0.2	VALID	0	2	0	1	2468	7398	4932	0	1e-6	3	1	yes	4	cec740d3	0	-	1
two_bosses	def	0.3	VALID	0	2	0	1	1718	5148	3432	0	1e-6	3	1	yes	4	cec740d3	0	-	1
two_bosses	def	0.5	VALID	0	2	0	1	1058	3168	2112	0	1e-6	3	1	yes	4	cec740d3	0	-	1
two_bosses	def	0.8	VALID	0	2	0	1	842	2520	1680	0	1e-6	3	1	yes	4	cec740d3	0	-	1
two_bosses	def	0.9	VALID	0	2	0	1	806	2412	1608	0	1e-6	3	1	yes	4	cec740d3	0	-	1
two_bosses	def	1.0	VALID	0	2	0	1	764	2286	1524	0	1e-6	3	1	yes	4	cec740d3	0	-	1
two_bosses	def	2.0	VALID	0	2	0	1	614	1836	1224	0	1e-6	3	1	yes	4	cec740d3	0	-	1
pipe_into_face	def	def	VALID	0	2	0	1	458	1368	912	0	1e-6	3	1	yes	4	cec740d3	0	-	1
