# tile	case	family	fn	col	op	valid	bnd	nonman	nmvert	chi	genus	comp	wantcomp	v	e	f	folds	warn	corners	class	tier	want_class	verdict_flags	tol	runs	distinct	secs	bin	camera
AC05-R5-C2	AC05	corner	64	2	fillet	VALID	0	0	0	2	0	1	1	1469	4401	2934	0	0	tube=0 capTri=8 cap=0 coons=0 saddle=0 flat=0 fan=2 weld=12 none=0	capTri	tier=pullIn welded=0 gate=0 curvedFans=1 wallWalk=1	capTri	OK	1e-6	1	1	0.11	9de6d8c0	-27.441,-27.441,32.697,0,0,8
AC05-R5-C3	AC05	corner	64	3	chamfer	VALID	0	0	0	2	0	1	1	61	177	118	0	0	tube=0 capTri=0 cap=0 coons=0 saddle=0 flat=0 fan=8 weld=14 none=0	fan	tier=pullIn welded=0 gate=0 curvedFans=1 wallWalk=1	capTri	OK	1e-6	1	1	0.10	9de6d8c0	-27.441,-27.441,32.697,0,0,8
AC06-R1-C1	AC06	mixed-corner	stock	1	original	VALID	0	0	0	2	0	1	1	15	39	26	0	0		-		tube	OK	1e-6	1	1	0.10	9de6d8c0	36.419,-30.419,27.293,6,0,6
AC06-R1-C2	AC06	mixed-corner	stock	2	fillet	VALID	0	0	0	2	0	1	1	128	378	252	0	0	tube=2 capTri=10 cap=0 coons=0 saddle=0 flat=0 fan=0 weld=16 none=0	tube	tier=pullIn welded=0 gate=0 curvedFans=1 wallWalk=1	tube	OK	1e-6	1	1	0.11	9de6d8c0	36.419,-30.419,27.293,6,0,6
AC06-R1-C3	AC06	mixed-corner	stock	3	chamfer	VALID	0	0	0	2	0	1	1	82	240	160	0	0	tube=0 capTri=0 cap=0 coons=0 saddle=0 flat=2 fan=10 weld=16 none=0	flat	tier=fullMitre welded=0 gate=0 curvedFans=1 wallWalk=1	tube	OK	1e-6	1	1	0.11	9de6d8c0	36.419,-30.419,27.293,6,0,6
AC06-R2-C1	AC06	mixed-corner	8	1	original	VALID	0	0	0	2	0	1	1	15	39	26	0	0		-		tube	OK	1e-6	1	1	0.10	9de6d8c0	36.419,-30.419,27.293,6,0,6
AC06-R2-C2	AC06	mixed-corner	8	2	fillet	VALID	0	0	0	2	0	1	1	128	378	252	0	0	tube=2 capTri=10 cap=0 coons=0 saddle=0 flat=0 fan=0 weld=16 none=0	tube	tier=pullIn welded=0 gate=0 curvedFans=1 wallWalk=1	tube	OK	1e-6	1	1	0.11	9de6d8c0	36.419,-30.419,27.293,6,0,6
AC06-R2-C3	AC06	mixed-corner	8	3	chamfer	VALID	0	0	0	2	0	1	1	82	240	160	0	0	tube=0 capTri=0 cap=0 coons=0 saddle=0 flat=2 fan=10 weld=16 none=0	flat	tier=fullMitre welded=0 gate=0 curvedFans=1 wallWalk=1	tube	OK	1e-6	1	1	0.11	9de6d8c0	36.419,-30.419,27.293,6,0,6
AC06-R3-C1	AC06	mixed-corner	19	1	original	VALID	0	0	0	2	0	1	1	15	39	26	0	0		-		tube	OK	1e-6	1	1	0.10	9de6d8c0	36.419,-30.419,27.293,6,0,6
AC06-R3-C2	AC06	mixed-corner	19	2	fillet	VALID	0	0	0	2	0	1	1	380	1134	756	0	0	tube=2 capTri=10 cap=0 coons=0 saddle=0 flat=0 fan=0 weld=16 none=0	tube	tier=pullIn welded=0 gate=0 curvedFans=1 wallWalk=1	tube	OK	1e-6	1	1	0.11	9de6d8c0	36.419,-30.419,27.293,6,0,6
AC06-R3-C3	AC06	mixed-corner	19	3	chamfer	VALID	0	0	0	2	0	1	1	82	240	160	0	0	tube=0 capTri=0 cap=0 coons=0 saddle=0 flat=2 fan=10 weld=16 none=0	flat	tier=fullMitre welded=0 gate=0 curvedFans=1 wallWalk=1	tube	OK	1e-6	1	1	0.11	9de6d8c0	36.419,-30.419,27.293,6,0,6
